Group	Sample	cd8_subcluster	.n
Treatment naive	P15_pre	s4	24
Treatment naive	P16_pre	s1	224
Treatment naive	P16_pre	s2	166
Treatment naive	P16_pre	s3	89
Treatment naive	P16_pre	s4	6
Treatment naive	P17_pre	s1	141
Treatment naive	P17_pre	s2	195
Treatment naive	P17_pre	s3	112
Treatment naive	P17_pre	s4	28
Treatment naive	P18_pre	s1	436
Treatment naive	P18_pre	s2	446
Treatment naive	P18_pre	s3	143
Treatment naive	P18_pre	s4	73
Treatment naive	P19_pre	s1	1916
Treatment naive	P19_pre	s2	927
Treatment naive	P19_pre	s3	296
Treatment naive	P19_pre	s4	305
Treatment naive	P1_pre	s1	382
Treatment naive	P1_pre	s2	1179
Treatment naive	P1_pre	s3	305
Treatment naive	P1_pre	s4	101
Treatment naive	P20_pre	s1	263
Treatment naive	P20_pre	s2	297
Treatment naive	P20_pre	s3	549
Treatment naive	P20_pre	s4	11
Treatment naive	P21_pre	s1	299
Treatment naive	P21_pre	s2	50
Treatment naive	P21_pre	s3	196
Treatment naive	P21_pre	s4	50
Treatment naive	P22_pre	s1	139
Treatment naive	P22_pre	s2	73
Treatment naive	P22_pre	s3	68
Treatment naive	P22_pre	s4	9
Treatment naive	P23_pre	s1	325
Treatment naive	P23_pre	s2	258
Treatment naive	P23_pre	s3	180
Treatment naive	P23_pre	s4	9
Treatment naive	P24_pre	s1	154
Treatment naive	P24_pre	s2	192
Treatment naive	P24_pre	s3	87
Treatment naive	P24_pre	s4	42
Treatment naive	P25_pre	s1	325
Treatment naive	P25_pre	s2	809
Treatment naive	P25_pre	s3	101
Treatment naive	P25_pre	s4	78
Treatment naive	P26_pre	s1	44
Treatment naive	P26_pre	s2	29
Treatment naive	P26_pre	s3	36
Treatment naive	P26_pre	s4	1
Treatment naive	P27_pre	s1	273
Treatment naive	P27_pre	s2	141
Treatment naive	P27_pre	s3	240
Treatment naive	P27_pre	s4	9
Treatment naive	P28_pre	s1	339
Treatment naive	P28_pre	s2	609
Treatment naive	P28_pre	s3	363
Treatment naive	P28_pre	s4	74
Treatment naive	P29_pre	s1	404
Treatment naive	P29_pre	s2	244
Treatment naive	P29_pre	s3	99
Treatment naive	P29_pre	s4	38
Treatment naive	P2_pre	s1	486
Treatment naive	P2_pre	s2	247
Treatment naive	P2_pre	s3	121
Treatment naive	P2_pre	s4	28
Treatment naive	P30_pre	s1	264
Treatment naive	P30_pre	s2	742
Treatment naive	P30_pre	s3	212
Treatment naive	P30_pre	s4	58
Treatment naive	P33_pre	s1	145
Treatment naive	P33_pre	s2	350
Treatment naive	P33_pre	s3	84
Treatment naive	P33_pre	s4	17
Treatment naive	P34_pre	s1	675
Treatment naive	P34_pre	s2	962
Treatment naive	P34_pre	s3	283
Treatment naive	P34_pre	s4	37
Treatment naive	P35_pre	s1	688
Treatment naive	P35_pre	s2	629
Treatment naive	P35_pre	s3	310
Treatment naive	P35_pre	s4	45
Treatment naive	P3_pre	s1	77
Treatment naive	P3_pre	s2	183
Treatment naive	P3_pre	s3	133
Treatment naive	P3_pre	s4	5
Treatment naive	P4_pre	s1	89
Treatment naive	P4_pre	s2	110
Treatment naive	P4_pre	s3	69
Treatment naive	P4_pre	s4	19
Treatment naive	P5_pre	s1	43
Treatment naive	P5_pre	s2	55
Treatment naive	P5_pre	s3	15
Treatment naive	P5_pre	s4	11
Treatment naive	P6_pre	s1	324
Treatment naive	P6_pre	s2	200
Treatment naive	P6_pre	s3	189
Treatment naive	P6_pre	s4	12
Treatment naive	P7_pre	s1	22
Treatment naive	P7_pre	s2	66
Treatment naive	P7_pre	s3	26
Treatment naive	P7_pre	s4	18
Treatment naive	P8_pre	s1	114
Treatment naive	P8_pre	s2	148
Treatment naive	P8_pre	s3	30
Treatment naive	P8_pre	s4	102
Treatment naive	P9_pre	s1	57
Treatment naive	P9_pre	s2	81
Treatment naive	P9_pre	s3	66
Treatment naive	P9_pre	s4	24
