Group	Sample	seurat_clusters	.n	.frac
Post non-responsive	P1_post_3	c18	35	0.0145228215767635
Post non-responsive	P1_post_3	c19	40	0.016597510373444
Post non-responsive	P1_post_3	c20	82	0.0340248962655602
Post non-responsive	P1_post_3	c21	94	0.0390041493775934
Post non-responsive	P1_post_3	c22	17	0.00705394190871369
Post non-responsive	P1_post_3	c23	5	0.0020746887966805
Post non-responsive	P1_post_3	c24	44	0.0182572614107884
Post non-responsive	P1_post_3	c25	69	0.0286307053941909
Post non-responsive	P1_post_3	c26	11	0.0045643153526971
Post non-responsive	P1_post_3	c27	18	0.00746887966804979
Post non-responsive	P1_post_3	c28	35	0.0145228215767635
Post non-responsive	P1_post_3	c29	9	0.0037344398340249
Post non-responsive	P1_post_3	c30	32	0.0132780082987552
Post non-responsive	P1_post_3	c31	17	0.00705394190871369
Post non-responsive	P1_post_3	c32	6	0.0024896265560166
Post non-responsive	P1_post_3	c33	4	0.0016597510373444
Post non-responsive	P36_post_1	c1	358	0.0848743480322428
Post non-responsive	P36_post_1	c2	293	0.0694642010431484
Post non-responsive	P36_post_1	c3	266	0.0630630630630631
Post non-responsive	P36_post_1	c4	230	0.0545282124229493
Post non-responsive	P36_post_1	c5	115	0.0272641062114746
Post non-responsive	P36_post_1	c6	299	0.070886676149834
Post non-responsive	P36_post_1	c7	315	0.0746799431009957
Post non-responsive	P36_post_1	c8	152	0.036036036036036
Post non-responsive	P36_post_1	c9	244	0.0578473210052157
Post non-responsive	P36_post_1	c10	166	0.0393551446183025
Post non-responsive	P36_post_1	c11	14	0.00331910858226648
Post non-responsive	P36_post_1	c12	190	0.045045045045045
Post non-responsive	P36_post_1	c13	97	0.0229966808914177
Post non-responsive	P36_post_1	c14	228	0.0540540540540541
Post non-responsive	P36_post_1	c15	240	0.0568990042674253
Post non-responsive	P36_post_1	c16	236	0.0559506875296349
Post non-responsive	P36_post_1	c17	105	0.0248933143669986
Post non-responsive	P36_post_1	c18	25	0.00592697961119014
Post non-responsive	P36_post_1	c19	40	0.00948316737790422
Post non-responsive	P36_post_1	c20	62	0.0146989094357515
Post non-responsive	P36_post_1	c21	104	0.024656235182551
Post non-responsive	P36_post_1	c22	49	0.0116168800379327
Post non-responsive	P36_post_1	c23	6	0.00142247510668563
Post non-responsive	P36_post_1	c24	55	0.0130393551446183
Post non-responsive	P36_post_1	c25	103	0.0244191559981034
Post non-responsive	P36_post_1	c26	13	0.00308202939781887
Post non-responsive	P36_post_1	c27	100	0.0237079184447605
Post non-responsive	P36_post_1	c28	32	0.00758653390232338
Post non-responsive	P36_post_1	c29	6	0.00142247510668563
Post non-responsive	P36_post_1	c30	31	0.00734945471787577
Post non-responsive	P36_post_1	c31	29	0.00687529634898056
Post non-responsive	P36_post_1	c32	4	0.000948316737790422
Post non-responsive	P36_post_1	c33	11	0.00260787102892366
Post non-responsive	P37_post_1	c1	2	0.00573065902578797
Post non-responsive	P37_post_1	c2	7	0.0200573065902579
Post non-responsive	P37_post_1	c3	11	0.0315186246418338
Post non-responsive	P37_post_1	c4	15	0.0429799426934097
Post non-responsive	P37_post_1	c5	16	0.0458452722063037
Post non-responsive	P37_post_1	c6	5	0.0143266475644699
Post non-responsive	P37_post_1	c7	4	0.0114613180515759
Post non-responsive	P37_post_1	c8	4	0.0114613180515759
Post non-responsive	P37_post_1	c9	14	0.0401146131805158
Post non-responsive	P37_post_1	c10	14	0.0401146131805158
Post non-responsive	P37_post_1	c11	7	0.0200573065902579
Post non-responsive	P37_post_1	c12	7	0.0200573065902579
Post non-responsive	P37_post_1	c13	14	0.0401146131805158
Post non-responsive	P37_post_1	c14	10	0.0286532951289398
Post non-responsive	P37_post_1	c15	8	0.0229226361031519
Post non-responsive	P37_post_1	c16	12	0.0343839541547278
Post non-responsive	P37_post_1	c17	9	0.0257879656160458
Post non-responsive	P37_post_1	c18	101	0.289398280802292
Post non-responsive	P37_post_1	c19	7	0.0200573065902579
Post non-responsive	P37_post_1	c20	6	0.0171919770773639
Post non-responsive	P37_post_1	c21	5	0.0143266475644699
Post non-responsive	P37_post_1	c22	4	0.0114613180515759
Post non-responsive	P37_post_1	c24	14	0.0401146131805158
Post non-responsive	P37_post_1	c25	4	0.0114613180515759
Post non-responsive	P37_post_1	c26	6	0.0171919770773639
Post non-responsive	P37_post_1	c27	5	0.0143266475644699
Post non-responsive	P37_post_1	c28	11	0.0315186246418338
Post non-responsive	P37_post_1	c29	1	0.00286532951289398
Post non-responsive	P37_post_1	c30	1	0.00286532951289398
Post non-responsive	P37_post_1	c31	24	0.0687679083094556
Post non-responsive	P37_post_1	c33	1	0.00286532951289398
Post non-responsive	P38_post_1	c1	68	0.0317757009345794
Post non-responsive	P38_post_1	c2	64	0.0299065420560748
Post non-responsive	P38_post_1	c3	56	0.0261682242990654
Post non-responsive	P38_post_1	c4	75	0.0350467289719626
Post non-responsive	P38_post_1	c5	35	0.0163551401869159
Post non-responsive	P38_post_1	c6	15	0.00700934579439252
Post non-responsive	P38_post_1	c7	20	0.00934579439252336
Post non-responsive	P38_post_1	c8	56	0.0261682242990654
Post non-responsive	P38_post_1	c9	22	0.0102803738317757
Post non-responsive	P38_post_1	c10	19	0.0088785046728972
Post non-responsive	P38_post_1	c11	74	0.0345794392523364
Post non-responsive	P38_post_1	c12	59	0.0275700934579439
Post non-responsive	P38_post_1	c13	26	0.0121495327102804
Post non-responsive	P38_post_1	c14	38	0.0177570093457944
Post non-responsive	P38_post_1	c15	47	0.0219626168224299
Post non-responsive	P38_post_1	c16	10	0.00467289719626168
Post non-responsive	P38_post_1	c17	64	0.0299065420560748
Post non-responsive	P38_post_1	c18	647	0.302336448598131
Post non-responsive	P38_post_1	c19	65	0.0303738317757009
Post non-responsive	P38_post_1	c20	47	0.0219626168224299
Post non-responsive	P38_post_1	c21	80	0.0373831775700935
Post non-responsive	P38_post_1	c22	24	0.011214953271028
Post non-responsive	P38_post_1	c23	26	0.0121495327102804
Post non-responsive	P38_post_1	c24	111	0.0518691588785047
Post non-responsive	P38_post_1	c25	20	0.00934579439252336
Post non-responsive	P38_post_1	c26	73	0.0341121495327103
Post non-responsive	P38_post_1	c27	50	0.0233644859813084
Post non-responsive	P38_post_1	c28	64	0.0299065420560748
Post non-responsive	P38_post_1	c29	19	0.0088785046728972
Post non-responsive	P38_post_1	c30	26	0.0121495327102804
Post non-responsive	P38_post_1	c31	133	0.0621495327102804
Post non-responsive	P38_post_1	c32	5	0.00233644859813084
Post non-responsive	P38_post_1	c33	2	0.000934579439252336
Post responsive	P10_post_1	c1	72	0.0296418279127213
Post responsive	P10_post_1	c2	110	0.0452861259777686
Post responsive	P10_post_1	c3	36	0.0148209139563606
Post responsive	P10_post_1	c4	194	0.0798682585426101
Post responsive	P10_post_1	c5	140	0.0576368876080692
Post responsive	P10_post_1	c6	127	0.0522848909016056
Post responsive	P10_post_1	c7	99	0.0407575133799918
Post responsive	P10_post_1	c8	89	0.0366405928365583
Post responsive	P10_post_1	c9	136	0.0559901193906958
Post responsive	P10_post_1	c10	220	0.0905722519555373
Post responsive	P10_post_1	c11	80	0.0329353643474681
Post responsive	P10_post_1	c12	89	0.0366405928365583
Post responsive	P10_post_1	c13	147	0.0605187319884726
Post responsive	P10_post_1	c14	73	0.0300535199670646
Post responsive	P10_post_1	c15	88	0.0362289007822149
Post responsive	P10_post_1	c16	107	0.0440510498147386
Post responsive	P10_post_1	c17	118	0.0485796624125154
Post responsive	P10_post_1	c18	32	0.0131741457389872
Post responsive	P10_post_1	c19	65	0.0267599835323178
Post responsive	P10_post_1	c20	74	0.030465212021408
Post responsive	P10_post_1	c21	47	0.0193495265541375
Post responsive	P10_post_1	c22	78	0.0321119802387814
Post responsive	P10_post_1	c23	3	0.00123507616303005
Post responsive	P10_post_1	c24	20	0.00823384108686702
Post responsive	P10_post_1	c25	49	0.0201729106628242
Post responsive	P10_post_1	c26	31	0.0127624536846439
Post responsive	P10_post_1	c27	39	0.0160559901193907
Post responsive	P10_post_1	c28	10	0.00411692054343351
Post responsive	P10_post_1	c29	3	0.00123507616303005
Post responsive	P10_post_1	c30	37	0.015232606010704
Post responsive	P10_post_1	c31	15	0.00617538081515027
Post responsive	P10_post_1	c32	1	0.000411692054343351
Post responsive	P13_post_1	c1	483	0.136982416335791
Post responsive	P13_post_1	c2	234	0.0663641520136132
Post responsive	P13_post_1	c3	250	0.0709018718094158
Post responsive	P13_post_1	c4	97	0.0275099262620533
Post responsive	P13_post_1	c5	165	0.0467952353942144
Post responsive	P13_post_1	c6	139	0.0394214407260352
Post responsive	P13_post_1	c7	90	0.0255246738513897
Post responsive	P13_post_1	c8	187	0.053034600113443
Post responsive	P13_post_1	c9	80	0.022688598979013
Post responsive	P13_post_1	c10	14	0.00397050482132728
Post responsive	P13_post_1	c11	71	0.0201361315938741
Post responsive	P13_post_1	c12	62	0.0175836642087351
Post responsive	P13_post_1	c13	112	0.0317640385706183
Post responsive	P13_post_1	c14	85	0.0241066364152014
Post responsive	P13_post_1	c15	111	0.0314804310833806
Post responsive	P13_post_1	c16	122	0.0346001134429949
Post responsive	P13_post_1	c17	120	0.0340328984685196
Post responsive	P13_post_1	c18	45	0.0127623369256948
Post responsive	P13_post_1	c19	90	0.0255246738513897
Post responsive	P13_post_1	c20	110	0.0311968235961429
Post responsive	P13_post_1	c21	67	0.0190017016449234
Post responsive	P13_post_1	c22	86	0.024390243902439
Post responsive	P13_post_1	c23	68	0.0192853091321611
Post responsive	P13_post_1	c24	110	0.0311968235961429
Post responsive	P13_post_1	c25	112	0.0317640385706183
Post responsive	P13_post_1	c26	30	0.00850822461712989
Post responsive	P13_post_1	c27	26	0.00737379466817924
Post responsive	P13_post_1	c28	103	0.0292115711854793
Post responsive	P13_post_1	c29	52	0.0147475893363585
Post responsive	P13_post_1	c30	127	0.0360181508791832
Post responsive	P13_post_1	c31	32	0.00907543959160522
Post responsive	P13_post_1	c32	24	0.00680657969370391
Post responsive	P13_post_1	c33	22	0.00623936471922859
Post responsive	P19_post_1	c1	94	0.0107613050944476
Post responsive	P19_post_1	c2	1	0.000114481969089868
Post responsive	P19_post_1	c3	1	0.000114481969089868
Post responsive	P19_post_1	c4	12	0.00137378362907842
Post responsive	P19_post_1	c5	54	0.00618202633085289
Post responsive	P19_post_1	c6	242	0.0277046365197481
Post responsive	P19_post_1	c7	84	0.00961648540354894
Post responsive	P19_post_1	c8	1	0.000114481969089868
Post responsive	P19_post_1	c9	2	0.000228963938179737
Post responsive	P19_post_1	c10	170	0.0194619347452776
Post responsive	P19_post_1	c11	2519	0.288380080137378
Post responsive	P19_post_1	c12	10	0.00114481969089868
Post responsive	P19_post_1	c13	721	0.0825414997137951
Post responsive	P19_post_1	c14	76	0.00870062965082999
Post responsive	P19_post_1	c15	318	0.0364052661705781
Post responsive	P19_post_1	c16	102	0.0116771608471666
Post responsive	P19_post_1	c17	15	0.00171722953634803
Post responsive	P19_post_1	c18	587	0.0672009158557527
Post responsive	P19_post_1	c19	709	0.0811677160847167
Post responsive	P19_post_1	c20	103	0.0117916428162564
Post responsive	P19_post_1	c21	20	0.00228963938179737
Post responsive	P19_post_1	c22	1162	0.133028048082427
Post responsive	P19_post_1	c23	2	0.000228963938179737
Post responsive	P19_post_1	c24	7	0.000801373783629078
Post responsive	P19_post_1	c25	7	0.000801373783629078
Post responsive	P19_post_1	c26	1381	0.158099599313108
Post responsive	P19_post_1	c27	153	0.0175157412707499
Post responsive	P19_post_1	c28	5	0.000572409845449342
Post responsive	P19_post_1	c29	3	0.000343445907269605
Post responsive	P19_post_1	c30	163	0.0186605609616485
Post responsive	P19_post_1	c31	11	0.00125930165998855
Post responsive	P1_post_1	c1	265	0.099437148217636
Post responsive	P1_post_1	c2	354	0.132833020637899
Post responsive	P1_post_1	c3	330	0.123827392120075
Post responsive	P1_post_1	c4	62	0.0232645403377111
Post responsive	P1_post_1	c5	125	0.0469043151969981
Post responsive	P1_post_1	c6	71	0.0266416510318949
Post responsive	P1_post_1	c7	27	0.0101313320825516
Post responsive	P1_post_1	c8	99	0.0371482176360225
Post responsive	P1_post_1	c9	118	0.0442776735459662
Post responsive	P1_post_1	c10	38	0.0142589118198874
Post responsive	P1_post_1	c11	32	0.0120075046904315
Post responsive	P1_post_1	c12	91	0.0341463414634146
Post responsive	P1_post_1	c13	53	0.0198874296435272
Post responsive	P1_post_1	c14	166	0.0622889305816135
Post responsive	P1_post_1	c15	55	0.0206378986866792
Post responsive	P1_post_1	c16	46	0.0172607879924953
Post responsive	P1_post_1	c17	44	0.0165103189493433
Post responsive	P1_post_1	c18	39	0.0146341463414634
Post responsive	P1_post_1	c19	54	0.0202626641651032
Post responsive	P1_post_1	c20	94	0.0352720450281426
Post responsive	P1_post_1	c21	76	0.0285178236397749
Post responsive	P1_post_1	c22	24	0.00900562851782364
Post responsive	P1_post_1	c23	9	0.00337711069418386
Post responsive	P1_post_1	c24	73	0.0273921200750469
Post responsive	P1_post_1	c25	156	0.0585365853658537
Post responsive	P1_post_1	c26	10	0.00375234521575985
Post responsive	P1_post_1	c27	4	0.00150093808630394
Post responsive	P1_post_1	c28	40	0.0150093808630394
Post responsive	P1_post_1	c29	5	0.00187617260787992
Post responsive	P1_post_1	c30	40	0.0150093808630394
Post responsive	P1_post_1	c31	37	0.0138836772983114
Post responsive	P1_post_1	c32	18	0.00675422138836773
Post responsive	P1_post_1	c33	10	0.00375234521575985
Post responsive	P1_post_2	c1	225	0.0678119349005425
Post responsive	P1_post_2	c2	187	0.0563592525617842
Post responsive	P1_post_2	c3	195	0.0587703435804702
Post responsive	P1_post_2	c4	150	0.0452079566003617
Post responsive	P1_post_2	c5	212	0.0638939119951778
Post responsive	P1_post_2	c6	120	0.0361663652802893
Post responsive	P1_post_2	c7	84	0.0253164556962025
Post responsive	P1_post_2	c8	148	0.0446051838456902
Post responsive	P1_post_2	c9	171	0.0515370705244123
Post responsive	P1_post_2	c10	201	0.0605786618444846
Post responsive	P1_post_2	c11	72	0.0216998191681736
Post responsive	P1_post_2	c12	164	0.0494273658830621
Post responsive	P1_post_2	c13	118	0.0355635925256178
Post responsive	P1_post_2	c14	126	0.0379746835443038
Post responsive	P1_post_2	c15	81	0.0244122965641953
Post responsive	P1_post_2	c16	58	0.0174804098854732
Post responsive	P1_post_2	c17	114	0.0343580470162749
Post responsive	P1_post_2	c18	34	0.0102471368294153
Post responsive	P1_post_2	c19	77	0.0232067510548523
Post responsive	P1_post_2	c20	130	0.0391802290536468
Post responsive	P1_post_2	c21	199	0.0599758890898131
Post responsive	P1_post_2	c22	50	0.0150693188667872
Post responsive	P1_post_2	c23	38	0.0114526823387583
Post responsive	P1_post_2	c24	62	0.0186859553948162
Post responsive	P1_post_2	c25	83	0.0250150693188668
Post responsive	P1_post_2	c26	23	0.00693188667872212
Post responsive	P1_post_2	c27	37	0.0111512959614225
Post responsive	P1_post_2	c28	51	0.015370705244123
Post responsive	P1_post_2	c29	18	0.0054249547920434
Post responsive	P1_post_2	c30	56	0.0168776371308017
Post responsive	P1_post_2	c31	17	0.00512356841470766
Post responsive	P1_post_2	c32	12	0.00361663652802893
Post responsive	P1_post_2	c33	5	0.00150693188667872
Post responsive	P29_post_1	c1	83	0.0628787878787879
Post responsive	P29_post_1	c2	59	0.0446969696969697
Post responsive	P29_post_1	c3	73	0.0553030303030303
Post responsive	P29_post_1	c4	37	0.028030303030303
Post responsive	P29_post_1	c5	39	0.0295454545454545
Post responsive	P29_post_1	c6	58	0.0439393939393939
Post responsive	P29_post_1	c7	40	0.0303030303030303
Post responsive	P29_post_1	c8	35	0.0265151515151515
Post responsive	P29_post_1	c9	10	0.00757575757575758
Post responsive	P29_post_1	c10	42	0.0318181818181818
Post responsive	P29_post_1	c11	73	0.0553030303030303
Post responsive	P29_post_1	c12	35	0.0265151515151515
Post responsive	P29_post_1	c13	69	0.0522727272727273
Post responsive	P29_post_1	c14	53	0.0401515151515152
Post responsive	P29_post_1	c15	54	0.0409090909090909
Post responsive	P29_post_1	c16	39	0.0295454545454545
Post responsive	P29_post_1	c17	23	0.0174242424242424
Post responsive	P29_post_1	c18	50	0.0378787878787879
Post responsive	P29_post_1	c19	51	0.0386363636363636
Post responsive	P29_post_1	c20	61	0.0462121212121212
Post responsive	P29_post_1	c21	27	0.0204545454545455
Post responsive	P29_post_1	c22	59	0.0446969696969697
Post responsive	P29_post_1	c23	19	0.0143939393939394
Post responsive	P29_post_1	c24	52	0.0393939393939394
Post responsive	P29_post_1	c25	20	0.0151515151515152
Post responsive	P29_post_1	c26	23	0.0174242424242424
Post responsive	P29_post_1	c27	19	0.0143939393939394
Post responsive	P29_post_1	c28	26	0.0196969696969697
Post responsive	P29_post_1	c29	16	0.0121212121212121
Post responsive	P29_post_1	c30	39	0.0295454545454545
Post responsive	P29_post_1	c31	23	0.0174242424242424
Post responsive	P29_post_1	c32	4	0.00303030303030303
Post responsive	P29_post_1	c33	9	0.00681818181818182
Post responsive	P30_post_1	c1	412	0.0690695725062867
Post responsive	P30_post_1	c2	452	0.0757753562447611
Post responsive	P30_post_1	c3	159	0.0266554903604359
Post responsive	P30_post_1	c4	251	0.0420787929589271
Post responsive	P30_post_1	c5	277	0.0464375523889355
Post responsive	P30_post_1	c6	408	0.0683989941324392
Post responsive	P30_post_1	c7	473	0.0792958927074602
Post responsive	P30_post_1	c8	271	0.0454316848281643
Post responsive	P30_post_1	c9	223	0.037384744341995
Post responsive	P30_post_1	c10	149	0.0249790444258173
Post responsive	P30_post_1	c11	126	0.0211232187761945
Post responsive	P30_post_1	c12	157	0.0263202011735122
Post responsive	P30_post_1	c13	347	0.0581726739312657
Post responsive	P30_post_1	c14	245	0.0410729253981559
Post responsive	P30_post_1	c15	394	0.0660519698239732
Post responsive	P30_post_1	c16	368	0.0616932103939648
Post responsive	P30_post_1	c17	199	0.0333612740989103
Post responsive	P30_post_1	c18	149	0.0249790444258173
Post responsive	P30_post_1	c19	58	0.00972338642078793
Post responsive	P30_post_1	c20	138	0.0231349538977368
Post responsive	P30_post_1	c21	115	0.019279128248114
Post responsive	P30_post_1	c22	62	0.0103939647946354
Post responsive	P30_post_1	c23	6	0.00100586756077117
Post responsive	P30_post_1	c24	21	0.00352053646269908
Post responsive	P30_post_1	c25	190	0.0318524727577536
Post responsive	P30_post_1	c26	30	0.00502933780385583
Post responsive	P30_post_1	c27	99	0.0165968147527242
Post responsive	P30_post_1	c28	11	0.00184409052808047
Post responsive	P30_post_1	c29	40	0.00670578373847443
Post responsive	P30_post_1	c30	43	0.00720871751886002
Post responsive	P30_post_1	c31	87	0.0145850796311819
Post responsive	P30_post_1	c32	4	0.000670578373847443
Post responsive	P30_post_1	c33	1	0.000167644593461861
Post responsive	P33_post_1	c1	337	0.0769757880310644
Post responsive	P33_post_1	c2	152	0.0347190497944267
Post responsive	P33_post_1	c3	126	0.0287802649611695
Post responsive	P33_post_1	c4	261	0.0596162631338511
Post responsive	P33_post_1	c5	228	0.05207857469164
Post responsive	P33_post_1	c6	69	0.0157606212882595
Post responsive	P33_post_1	c7	163	0.037231612608497
Post responsive	P33_post_1	c8	208	0.0475102786660576
Post responsive	P33_post_1	c9	233	0.0532206486980356
Post responsive	P33_post_1	c10	236	0.053905893101873
Post responsive	P33_post_1	c11	110	0.0251256281407035
Post responsive	P33_post_1	c12	333	0.0760621288259479
Post responsive	P33_post_1	c13	125	0.0285518501598904
Post responsive	P33_post_1	c14	150	0.0342622201918684
Post responsive	P33_post_1	c15	171	0.03905893101873
Post responsive	P33_post_1	c16	88	0.0201005025125628
Post responsive	P33_post_1	c17	75	0.0171311100959342
Post responsive	P33_post_1	c18	202	0.0461397898583828
Post responsive	P33_post_1	c19	180	0.0411146642302421
Post responsive	P33_post_1	c20	193	0.0440840566468707
Post responsive	P33_post_1	c21	119	0.0271813613522156
Post responsive	P33_post_1	c22	123	0.0280950205573321
Post responsive	P33_post_1	c23	38	0.00867976244860667
Post responsive	P33_post_1	c24	27	0.00616719963453632
Post responsive	P33_post_1	c25	48	0.0109639104613979
Post responsive	P33_post_1	c26	84	0.0191868433074463
Post responsive	P33_post_1	c27	135	0.0308359981726816
Post responsive	P33_post_1	c28	20	0.00456829602558246
Post responsive	P33_post_1	c29	30	0.00685244403837369
Post responsive	P33_post_1	c30	66	0.0150753768844221
Post responsive	P33_post_1	c31	35	0.0079945180447693
Post responsive	P33_post_1	c32	10	0.00228414801279123
Post responsive	P33_post_1	c33	3	0.000685244403837369
Post responsive	P35_post_1	c1	233	0.044145509662751
Post responsive	P35_post_1	c2	49	0.00928381962864721
Post responsive	P35_post_1	c3	40	0.00757862826828344
Post responsive	P35_post_1	c4	518	0.0981432360742706
Post responsive	P35_post_1	c5	376	0.0712391057218643
Post responsive	P35_post_1	c6	175	0.0331564986737401
Post responsive	P35_post_1	c7	209	0.039598332701781
Post responsive	P35_post_1	c8	291	0.055134520651762
Post responsive	P35_post_1	c9	280	0.0530503978779841
Post responsive	P35_post_1	c10	249	0.0471769609700644
Post responsive	P35_post_1	c11	112	0.0212201591511936
Post responsive	P35_post_1	c12	297	0.0562713148920045
Post responsive	P35_post_1	c13	202	0.0382720727548314
Post responsive	P35_post_1	c14	138	0.0261462675255779
Post responsive	P35_post_1	c15	211	0.0399772641151952
Post responsive	P35_post_1	c16	141	0.0267146646456991
Post responsive	P35_post_1	c17	219	0.0414929897688518
Post responsive	P35_post_1	c18	154	0.0291777188328912
Post responsive	P35_post_1	c19	179	0.0339143615005684
Post responsive	P35_post_1	c20	215	0.0407351269420235
Post responsive	P35_post_1	c21	441	0.0835543766578249
Post responsive	P35_post_1	c22	111	0.0210306934444865
Post responsive	P35_post_1	c23	15	0.00284198560060629
Post responsive	P35_post_1	c24	29	0.00549450549450549
Post responsive	P35_post_1	c25	49	0.00928381962864721
Post responsive	P35_post_1	c26	95	0.0179992421371732
Post responsive	P35_post_1	c27	111	0.0210306934444865
Post responsive	P35_post_1	c28	43	0.0081470253884047
Post responsive	P35_post_1	c29	3	0.000568397120121258
Post responsive	P35_post_1	c30	71	0.0134520651762031
Post responsive	P35_post_1	c31	14	0.0026525198938992
Post responsive	P35_post_1	c32	8	0.00151572565365669
Treatment naive	P10_pre	c1	165	0.0277918140474987
Treatment naive	P10_pre	c2	136	0.022907192184605
Treatment naive	P10_pre	c3	157	0.0264443321542867
Treatment naive	P10_pre	c4	397	0.0668687889506485
Treatment naive	P10_pre	c5	454	0.0764695974397844
Treatment naive	P10_pre	c6	225	0.0378979282465892
Treatment naive	P10_pre	c7	159	0.0267812026275897
Treatment naive	P10_pre	c8	487	0.0820279602492841
Treatment naive	P10_pre	c9	207	0.0348660939868621
Treatment naive	P10_pre	c10	111	0.0186963112683173
Treatment naive	P10_pre	c11	108	0.0181910055583628
Treatment naive	P10_pre	c12	286	0.0481724776823311
Treatment naive	P10_pre	c13	198	0.0333501768569985
Treatment naive	P10_pre	c14	97	0.0163382179551962
Treatment naive	P10_pre	c15	110	0.0185278760316658
Treatment naive	P10_pre	c16	211	0.0355398349334681
Treatment naive	P10_pre	c17	467	0.078659255516254
Treatment naive	P10_pre	c18	63	0.010611419909045
Treatment naive	P10_pre	c19	168	0.0282971197574533
Treatment naive	P10_pre	c20	304	0.0512043119420583
Treatment naive	P10_pre	c21	174	0.0293077311773623
Treatment naive	P10_pre	c22	75	0.0126326427488631
Treatment naive	P10_pre	c23	307	0.0517096176520128
Treatment naive	P10_pre	c24	191	0.0321711302004379
Treatment naive	P10_pre	c25	74	0.0124642075122116
Treatment naive	P10_pre	c26	57	0.00960080848913593
Treatment naive	P10_pre	c27	76	0.0128010779855146
Treatment naive	P10_pre	c28	156	0.0262758969176352
Treatment naive	P10_pre	c29	168	0.0282971197574533
Treatment naive	P10_pre	c30	94	0.0158329122452417
Treatment naive	P10_pre	c31	11	0.00185278760316658
Treatment naive	P10_pre	c32	31	0.00522149233619673
Treatment naive	P10_pre	c33	13	0.0021896580764696
Treatment naive	P11_pre	c1	98	0.0619469026548673
Treatment naive	P11_pre	c2	73	0.0461441213653603
Treatment naive	P11_pre	c3	76	0.0480404551201011
Treatment naive	P11_pre	c4	88	0.0556257901390645
Treatment naive	P11_pre	c5	59	0.0372945638432364
Treatment naive	P11_pre	c6	76	0.0480404551201011
Treatment naive	P11_pre	c7	109	0.0689001264222503
Treatment naive	P11_pre	c8	52	0.0328697850821745
Treatment naive	P11_pre	c9	60	0.0379266750948167
Treatment naive	P11_pre	c10	32	0.0202275600505689
Treatment naive	P11_pre	c11	14	0.00884955752212389
Treatment naive	P11_pre	c12	70	0.0442477876106195
Treatment naive	P11_pre	c13	54	0.034134007585335
Treatment naive	P11_pre	c14	57	0.0360303413400759
Treatment naive	P11_pre	c15	118	0.0745891276864728
Treatment naive	P11_pre	c16	93	0.0587863463969659
Treatment naive	P11_pre	c17	44	0.0278128950695322
